PHRASE,TOTAL,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
military documents,46,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,1,0,0,4,0,0,0,2,0,4,4,0
military intelligence,296,2,1,1,5,0,6,2,0,3,0,3,5,4,2,2,3,2,6,0,0,0,12,12,0,8,44,85,0,10,6,1,9,1,2,2,0,8,1,3,4,5,18,0,16,2
national security,1431,30,13,8,11,4,31,9,3,13,0,44,59,28,32,28,36,47,72,8,12,10,108,62,9,20,24,26,17,71,97,31,22,11,40,16,6,30,15,30,34,31,10,27,180,5
Paul Whelan,415,18,2,0,4,0,71,0,4,4,0,43,29,0,0,0,0,8,8,0,0,0,18,25,0,0,2,0,3,22,39,12,1,0,17,2,0,20,0,2,1,43,0,4,7,6
political operative,23,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
public interest,152,5,2,1,0,0,0,3,0,1,8,2,2,26,6,18,18,0,7,0,1,0,2,6,0,3,5,3,0,2,3,0,0,0,2,1,0,2,4,6,0,3,0,2,8,0
sanctions,543,21,2,3,0,5,25,7,7,1,0,19,25,1,4,6,2,20,32,0,16,2,31,51,2,16,2,1,4,24,26,18,3,4,11,27,0,14,1,0,1,9,4,5,70,16
spy,2819,60,34,5,40,13,83,60,19,21,6,100,128,28,51,23,5,94,98,46,34,41,178,188,33,54,72,48,17,133,160,68,63,20,75,45,8,156,5,15,37,82,21,40,262,34
surveillance,1497,29,17,9,30,10,19,10,13,53,12,22,30,36,80,32,22,51,37,2,12,21,124,70,10,66,35,78,8,60,72,27,11,9,11,47,3,80,13,11,56,7,5,10,122,14
technology,1629,27,6,20,4,3,36,22,11,51,0,54,72,14,4,36,9,27,64,2,48,2,74,137,10,35,31,59,7,47,76,37,35,6,27,22,12,44,1,4,19,38,21,56,277,27
the Espionage Act,670,9,11,3,5,2,1,2,6,13,11,8,12,55,53,10,14,2,21,0,2,0,14,15,12,39,15,33,0,44,13,7,6,0,7,5,0,31,83,14,36,12,0,6,35,1
the NSA,591,5,0,2,21,0,1,0,0,0,1,1,1,1,11,5,1,1,2,0,7,3,25,12,3,131,34,43,1,38,31,2,0,0,0,10,0,17,8,3,50,0,1,0,106,4
dossier,352,0,0,0,4,0,1,0,0,0,0,0,0,0,13,0,1,94,3,0,0,4,42,3,14,0,4,0,43,13,8,11,8,21,0,39,0,0,0,3,0,0,3,1,15,4
